Passenger ID,Gender,Age,Flight Class,Seat Comfort,Departure/Arrival Time Conv.,Food and Drink,Inflight Entertainment,Leg Room Service,Baggage Handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
2,F,36,Business,4,5,5,2,5,2,2,56,117,Unsatisfied
3,M,56,First Class,5,3,2,4,5,2,3,17,23,Unsatisfied
4,M,57,First Class,1,3,3,3,2,4,4,113,31,Satisfied
5,M,57,Premium Economy,5,5,2,2,5,5,4,79,77,Unsatisfied
6,F,28,Economy,5,2,4,1,2,5,2,115,25,Unsatisfied
7,F,74,Premium Economy,1,3,2,3,2,3,4,7,31,Satisfied
8,M,71,Economy,2,2,3,1,5,5,3,104,36,Unsatisfied
9,F,71,Economy,4,4,2,1,1,5,5,15,77,Unsatisfied
10,F,30,Premium Economy,4,2,4,4,5,4,5,71,111,Neutral
11,M,44,Business,1,1,2,3,5,1,1,25,92,Neutral
12,M,22,Economy,2,4,3,3,2,5,4,17,98,Unsatisfied
13,F,19,Economy,5,1,4,4,1,2,2,42,84,Unsatisfied
14,F,40,Economy,1,5,5,2,2,5,2,115,35,Neutral
15,M,72,Premium Economy,3,2,1,1,3,4,2,68,27,Unsatisfied
16,F,55,First Class,2,2,3,3,3,4,4,120,96,Neutral
17,F,78,Business,3,5,5,4,4,2,1,66,71,Satisfied
18,M,62,First Class,5,2,5,4,2,3,2,0,63,Neutral
19,F,40,Economy,4,2,2,2,1,3,4,18,70,Unsatisfied
20,M,53,Premium Economy,4,2,4,3,4,4,3,50,101,Satisfied
21,M,35,First Class,4,1,3,4,1,5,2,104,0,Neutral
22,F,44,Economy,5,4,3,2,1,4,4,18,78,Neutral
23,F,23,Business,4,1,1,2,3,4,5,109,70,Unsatisfied
24,M,55,Business,1,1,2,3,5,2,2,32,30,Satisfied
25,M,26,Premium Economy,3,5,3,1,3,4,3,0,38,Neutral
26,F,37,Premium Economy,5,5,3,2,3,5,4,74,80,Satisfied
27,M,59,Economy,4,5,1,2,2,3,3,18,3,Unsatisfied
28,M,37,Premium Economy,2,1,4,5,3,4,4,32,64,Neutral
29,F,46,Business,4,3,4,4,2,2,2,117,56,Unsatisfied
30,F,41,Business,3,2,5,3,2,4,3,11,19,Satisfied
31,M,37,Premium Economy,5,5,1,4,4,3,1,60,50,Neutral
32,F,18,Premium Economy,5,2,5,5,1,3,5,15,96,Satisfied
33,F,47,Economy,4,2,2,5,1,5,5,94,16,Unsatisfied
34,M,45,Business,5,1,3,1,2,2,4,55,11,Satisfied
35,F,18,Business,4,2,2,3,2,5,1,19,21,Satisfied
36,M,26,Premium Economy,1,1,3,1,5,1,3,10,23,Satisfied
37,F,51,First Class,2,5,4,5,5,5,2,106,0,Unsatisfied
38,M,69,First Class,2,2,2,5,3,2,5,4,28,Satisfied
39,F,75,Premium Economy,2,4,2,4,4,5,5,57,103,Satisfied
40,M,22,Premium Economy,3,1,3,1,1,3,5,32,43,Neutral
41,F,43,Economy,3,3,1,3,4,1,1,14,23,Satisfied
42,M,64,Business,4,4,4,1,1,2,2,27,101,Unsatisfied
43,F,39,Premium Economy,4,1,1,4,5,4,2,43,96,Satisfied
44,F,63,Premium Economy,2,3,3,5,3,5,5,31,70,Neutral
45,M,64,Business,1,5,4,2,5,4,2,19,83,Satisfied
46,M,54,Premium Economy,1,3,4,3,2,5,2,16,7,Satisfied
47,M,48,Economy,4,1,4,5,1,3,4,79,88,Neutral
48,M,61,Business,1,4,5,2,2,2,1,51,78,Neutral
49,M,60,Business,5,2,4,2,1,4,5,5,17,Unsatisfied
50,M,36,Economy,4,4,3,5,1,3,2,96,60,Unsatisfied
51,M,46,First Class,3,1,5,2,4,1,1,66,93,Satisfied
52,M,36,First Class,1,3,3,4,1,1,2,110,102,Neutral
53,F,34,Business,2,2,1,3,4,5,1,37,116,Unsatisfied
54,F,43,Business,1,1,2,3,3,2,4,95,0,Unsatisfied
55,F,27,Economy,3,4,4,1,5,5,3,74,88,Neutral
56,F,22,Economy,4,5,1,2,2,4,2,23,34,Unsatisfied
57,M,25,Economy,2,5,5,5,5,1,5,92,31,Satisfied
58,F,28,Premium Economy,3,1,4,2,5,5,4,64,70,Unsatisfied
59,M,24,First Class,4,2,5,4,5,2,2,21,32,Unsatisfied
60,M,31,First Class,4,2,5,3,5,1,4,53,74,Satisfied
61,M,38,First Class,2,5,1,2,1,2,5,103,55,Unsatisfied
62,F,69,Economy,4,4,3,5,3,3,4,120,84,Satisfied
63,F,52,First Class,2,3,1,1,2,1,2,69,8,Neutral
64,M,52,Business,2,4,2,3,3,1,4,60,102,Satisfied
65,M,46,Premium Economy,5,2,1,1,5,2,1,81,44,Neutral
66,M,66,First Class,1,3,5,2,2,1,2,22,115,Satisfied
67,F,40,Economy,4,1,1,5,3,3,2,39,16,Satisfied
68,M,45,Economy,5,1,4,1,2,3,5,27,96,Satisfied
69,M,41,Premium Economy,4,3,4,5,2,2,3,4,3,Neutral
70,M,67,First Class,3,5,3,1,4,3,5,33,107,Unsatisfied
71,F,80,Premium Economy,4,1,3,3,4,3,5,96,108,Satisfied
72,M,31,Premium Economy,2,2,1,5,5,1,2,40,118,Satisfied
73,M,32,Premium Economy,4,5,5,5,2,1,1,109,24,Neutral
74,M,71,First Class,4,4,4,4,4,5,4,67,109,Satisfied
75,M,55,Premium Economy,1,3,5,3,4,3,4,73,117,Neutral
76,F,61,Business,1,4,3,5,3,3,2,40,72,Neutral
77,M,56,Business,5,3,5,3,1,3,3,86,13,Unsatisfied
78,F,59,First Class,3,4,2,5,1,4,1,75,44,Unsatisfied
79,F,46,Premium Economy,3,3,2,4,2,5,2,105,62,Unsatisfied
80,M,39,Premium Economy,4,1,4,4,5,1,2,116,42,Unsatisfied
81,M,74,Economy,3,3,3,4,2,1,5,79,66,Satisfied
82,F,30,Premium Economy,4,3,3,4,1,5,3,80,72,Unsatisfied
83,F,58,Business,1,3,2,1,3,3,4,111,74,Unsatisfied
84,F,76,Economy,5,4,5,2,1,1,2,111,98,Neutral
85,F,54,Business,5,2,4,5,4,4,5,87,77,Satisfied
86,F,45,Economy,2,2,2,4,4,3,4,80,64,Neutral
87,M,55,Business,4,4,2,5,3,4,3,88,4,Satisfied
88,M,62,Business,3,2,1,3,1,4,4,77,37,Unsatisfied
89,M,67,Economy,2,1,2,4,5,1,4,105,8,Satisfied
90,F,46,Business,1,3,5,4,2,4,2,24,53,Neutral
91,F,56,Business,4,3,5,1,1,5,4,15,58,Satisfied
92,M,40,Business,4,2,4,1,2,2,2,119,73,Unsatisfied
93,F,80,Premium Economy,3,3,5,1,2,4,2,120,68,Satisfied
94,M,30,Business,4,2,4,4,4,4,1,53,87,Unsatisfied
95,M,69,First Class,5,4,2,2,2,3,4,56,97,Unsatisfied
96,F,18,Premium Economy,3,2,3,5,3,1,3,114,51,Satisfied
97,F,23,Economy,5,5,5,3,1,3,5,107,59,Neutral
98,F,21,Premium Economy,2,5,4,2,4,5,2,94,110,Unsatisfied
99,F,76,Premium Economy,5,2,5,5,4,3,2,117,58,Satisfied
100,F,50,Business,4,3,4,3,2,5,4,93,82,Unsatisfied
101,M,55,Premium Economy,1,4,4,3,3,1,1,50,54,Neutral
102,M,57,Business,1,5,4,2,3,3,5,96,55,Satisfied
103,M,55,First Class,5,4,3,4,2,2,3,119,20,Satisfied
104,F,24,First Class,1,2,2,1,4,2,4,22,99,Unsatisfied
105,F,60,Premium Economy,3,1,4,1,4,2,3,110,14,Unsatisfied
106,F,74,First Class,5,3,1,1,4,4,2,87,89,Satisfied
107,M,60,Business,2,4,3,1,3,1,2,7,48,Satisfied
108,M,41,First Class,5,3,1,4,4,1,4,62,87,Neutral
109,F,41,Business,1,1,5,2,3,3,1,55,54,Unsatisfied
110,F,23,Business,3,1,2,3,4,4,5,13,61,Satisfied
111,M,77,Business,4,5,2,5,2,1,5,63,14,Neutral
112,F,27,Business,1,5,5,1,2,2,2,82,69,Neutral
113,F,26,Business,2,1,2,1,4,4,2,88,59,Satisfied
114,F,51,First Class,1,4,3,1,4,1,5,21,60,Neutral
115,F,30,Premium Economy,1,3,5,2,3,1,4,58,93,Neutral
116,F,53,Economy,2,4,3,1,5,2,3,69,26,Neutral
117,M,76,Business,2,3,2,4,2,2,4,82,92,Neutral
118,M,53,Premium Economy,3,1,1,1,3,4,2,109,117,Unsatisfied
119,F,20,Economy,2,2,5,1,4,2,3,113,56,Satisfied
120,M,21,Business,2,3,1,4,4,2,2,4,66,Unsatisfied
121,F,64,Economy,2,1,2,4,5,2,1,12,40,Neutral
122,F,68,Economy,2,3,2,5,4,1,4,35,5,Unsatisfied
