Passenger ID,Gender_x,Age_x,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Departure and Arrival Time Convenience,Ease of Online Booking,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort_x,Leg Room Service_x,Cleanliness_x,Food and Drink_x,In-flight Service,In-flight Wifi Service,In-flight Entertainment,Baggage Handling_x,Satisfaction_x,PassengerId,Gender_y,Age_y,Flight Class,Seat Comfort_y,Departure/Arrival Time Conv.,Food and Drink_y,Inflight Entertainment,Leg Room Service_y,Baggage Handling_y,Cleanliness_y,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction_y
2,Female,35,Returning,Business,Business,821,26,39.0,2,2,3,5,2,5,4,5,5,3,5,2,5,5,Satisfied,2,F,36,Business,4,5,5,2,5,2,2,56,117,Unsatisfied
3,Male,41,Returning,Business,Business,853,0,0.0,4,4,4,5,4,3,5,3,5,5,3,4,3,3,Satisfied,3,M,56,First Class,5,3,2,4,5,2,3,17,23,Unsatisfied
4,Male,50,Returning,Business,Business,1905,0,0.0,2,2,3,4,2,5,5,5,4,4,5,2,5,5,Satisfied,4,M,57,First Class,1,3,3,3,2,4,4,113,31,Satisfied
5,Female,49,Returning,Business,Business,3470,0,1.0,3,3,3,5,3,3,4,4,5,4,3,3,3,3,Satisfied,5,M,57,Premium Economy,5,5,2,2,5,5,4,79,77,Unsatisfied
6,Male,43,Returning,Business,Business,3788,0,0.0,4,4,3,5,4,4,4,4,3,3,4,4,4,4,Satisfied,6,F,28,Economy,5,2,4,1,2,5,2,115,25,Unsatisfied
7,Male,43,Returning,Business,Business,1963,0,0.0,3,3,4,4,3,5,5,5,4,5,5,3,5,5,Satisfied,7,F,74,Premium Economy,1,3,2,3,2,3,4,7,31,Satisfied
8,Female,60,Returning,Business,Business,853,0,3.0,3,4,3,4,4,3,4,4,4,4,3,4,3,3,Satisfied,8,M,71,Economy,2,2,3,1,5,5,3,104,36,Unsatisfied
9,Male,50,Returning,Business,Business,2607,0,0.0,1,1,3,2,1,4,3,4,3,3,4,4,4,4,Neutral or Dissatisfied,9,F,71,Economy,4,4,2,1,1,5,5,15,77,Unsatisfied
10,Female,38,Returning,Business,Business,2822,13,0.0,2,5,3,5,2,5,4,5,4,2,5,2,5,5,Satisfied,10,F,30,Premium Economy,4,2,4,4,5,4,5,71,111,Neutral
11,Female,28,First-time,Business,Business,821,0,5.0,1,1,3,1,3,2,2,5,2,2,4,1,2,3,Neutral or Dissatisfied,11,M,44,Business,1,1,2,3,5,1,1,25,92,Neutral
12,Female,27,First-time,Business,Business,421,20,21.0,2,2,1,2,4,2,2,5,1,1,3,1,1,4,Neutral or Dissatisfied,12,M,22,Economy,2,4,3,3,2,5,4,17,98,Unsatisfied
13,Male,24,First-time,Business,Economy,453,16,30.0,2,2,2,2,4,2,5,4,5,5,4,2,5,4,Neutral or Dissatisfied,13,F,19,Economy,5,1,4,4,1,2,2,42,84,Unsatisfied
14,Male,9,Returning,Personal,Business,853,68,76.0,5,1,5,1,2,4,5,3,5,5,5,1,5,4,Neutral or Dissatisfied,14,F,40,Economy,1,5,5,2,2,5,2,115,35,Neutral
15,Male,52,Returning,Personal,Economy,853,0,0.0,4,2,3,2,4,3,2,3,2,2,5,2,2,5,Neutral or Dissatisfied,15,M,72,Premium Economy,3,2,1,1,3,4,2,68,27,Unsatisfied
16,Male,70,Returning,Personal,Economy,821,0,0.0,5,2,4,2,1,4,5,2,5,5,5,2,5,4,Neutral or Dissatisfied,16,F,55,First Class,2,2,3,3,3,4,4,120,96,Neutral
17,Female,48,Returning,Personal,Economy,821,0,0.0,3,2,5,5,3,5,1,2,2,1,5,2,5,5,Neutral or Dissatisfied,17,F,78,Business,3,5,5,4,4,2,1,66,71,Satisfied
18,Female,61,Returning,Personal,Economy,821,0,0.0,5,2,5,1,1,5,5,2,1,4,5,2,5,5,Neutral or Dissatisfied,18,M,62,First Class,5,2,5,4,2,3,2,0,63,Neutral
19,Female,11,Returning,Personal,Economy,853,0,0.0,5,3,5,3,2,3,5,2,5,5,5,3,5,4,Neutral or Dissatisfied,19,F,40,Economy,4,2,2,2,1,3,4,18,70,Unsatisfied
20,Female,42,Returning,Personal,Economy,821,4,0.0,3,3,3,3,4,1,4,3,3,1,1,3,1,1,Neutral or Dissatisfied,20,M,53,Premium Economy,4,2,4,3,4,4,3,50,101,Satisfied
21,Female,14,Returning,Personal,Economy,853,12,1.0,1,3,4,3,3,1,4,3,4,4,3,3,4,2,Neutral or Dissatisfied,21,M,35,First Class,4,1,3,4,1,5,2,104,0,Neutral
22,Female,70,Returning,Personal,Economy,853,0,0.0,4,1,4,4,2,1,4,1,4,2,1,1,1,1,Neutral or Dissatisfied,22,F,44,Economy,5,4,3,2,1,4,4,18,78,Neutral
23,Female,56,Returning,Personal,Economy,821,0,0.0,4,3,4,4,3,5,3,3,4,3,5,4,5,5,Neutral or Dissatisfied,23,F,23,Business,4,1,1,2,3,4,5,109,70,Unsatisfied
24,Male,77,Returning,Business,Economy Plus,821,0,0.0,5,5,1,4,5,4,4,5,4,4,2,4,4,3,Neutral or Dissatisfied,24,M,55,Business,1,1,2,3,5,2,2,32,30,Satisfied
25,Male,51,Returning,Business,Business,3460,0,2.0,3,3,5,4,3,5,5,4,4,2,5,3,5,5,Satisfied,25,M,26,Premium Economy,3,5,3,1,3,4,3,0,38,Neutral
26,Male,47,Returning,Business,Business,1676,0,15.0,4,5,5,4,4,5,5,5,5,5,5,4,5,4,Satisfied,26,F,37,Premium Economy,5,5,3,2,3,5,4,74,80,Satisfied
27,Male,50,Returning,Business,Business,2168,6,24.0,3,3,4,4,3,5,5,5,4,2,5,3,5,5,Satisfied,27,M,59,Economy,4,5,1,2,2,3,3,18,3,Unsatisfied
28,Male,58,Returning,Business,Business,2867,0,0.0,5,0,4,5,4,3,5,3,5,5,3,0,3,3,Satisfied,28,M,37,Premium Economy,2,1,4,5,3,4,4,32,64,Neutral
29,Male,40,Returning,Business,Business,3734,0,52.0,4,4,4,4,4,5,4,5,3,2,5,4,5,5,Satisfied,29,F,46,Business,4,3,4,4,2,2,2,117,56,Unsatisfied
30,Male,48,Returning,Business,Business,3088,0,12.0,4,5,3,4,4,4,4,4,3,3,4,4,4,4,Satisfied,30,F,41,Business,3,2,5,3,2,4,3,11,19,Satisfied
